State,Year,ConsumptionType,ConsumptionValue
Arizona,1966,Consumption.Commercial.Geothermal,0
Arizona,1967,Consumption.Commercial.Geothermal,0
Arizona,1968,Consumption.Commercial.Geothermal,0
Arizona,1969,Consumption.Commercial.Geothermal,0
Arizona,1970,Consumption.Commercial.Geothermal,0
Arizona,1971,Consumption.Commercial.Geothermal,0
Arizona,1972,Consumption.Commercial.Geothermal,0
Arizona,1973,Consumption.Commercial.Geothermal,0
Arizona,1974,Consumption.Commercial.Geothermal,0
Arizona,1975,Consumption.Commercial.Geothermal,0
Arizona,1976,Consumption.Commercial.Geothermal,0
Arizona,1977,Consumption.Commercial.Geothermal,0
Arizona,1978,Consumption.Commercial.Geothermal,0
Arizona,1979,Consumption.Commercial.Geothermal,0
Arizona,1980,Consumption.Commercial.Geothermal,0
Arizona,1981,Consumption.Commercial.Geothermal,0
Arizona,1982,Consumption.Commercial.Geothermal,0
Arizona,1983,Consumption.Commercial.Geothermal,0
Arizona,1984,Consumption.Commercial.Geothermal,0
Arizona,1985,Consumption.Commercial.Geothermal,0
Arizona,1986,Consumption.Commercial.Geothermal,0
Arizona,1987,Consumption.Commercial.Geothermal,0
Arizona,1988,Consumption.Commercial.Geothermal,0
Arizona,1989,Consumption.Commercial.Geothermal,2
Arizona,1990,Consumption.Commercial.Geothermal,2
Arizona,1991,Consumption.Commercial.Geothermal,2
Arizona,1992,Consumption.Commercial.Geothermal,2
Arizona,1993,Consumption.Commercial.Geothermal,2
Arizona,1994,Consumption.Commercial.Geothermal,2
Arizona,1995,Consumption.Commercial.Geothermal,2
Arizona,1996,Consumption.Commercial.Geothermal,2
Arizona,1997,Consumption.Commercial.Geothermal,2
Arizona,1998,Consumption.Commercial.Geothermal,2
Arizona,1999,Consumption.Commercial.Geothermal,44
Arizona,2000,Consumption.Commercial.Geothermal,44
Arizona,2001,Consumption.Commercial.Geothermal,44
Arizona,2002,Consumption.Commercial.Geothermal,50
Arizona,2003,Consumption.Commercial.Geothermal,54
Arizona,2004,Consumption.Commercial.Geothermal,54
